CAPÍTULO,PERGUNTA,RESPOSTA
Capítulo 3,Quantas gerações há na genealogia de Jesus segundo Lucas?,78 GERAÇÕES (DE JESUS ATÉ DEUS).
Capítulo 4,"Quem levou Jesus ao deserto, quantos dias ficou sem comer e com que finalidade?","O ESPÍRITO O LEVOU, FICOU 40 DIAS PARA SER TENTADO."
Capítulo 4,Primeira tentação e resposta de Jesus?,"TRANSFORMAR PEDRAS EM PÃO. RESPOSTA: NEM SÓ DE PÃO VIVERÁ O HOMEM, MAS DE TODA PALAVRA DE DEUS."
Capítulo 4,Segunda tentação e resposta de Jesus?,ADORAR SATANÁS PARA TER OS REINOS. RESPOSTA: ADORARÁS AO SENHOR TEU DEUS E SÓ A ELE SERVIRÁS.
Capítulo 4,Terceira tentação e resposta de Jesus?,LANÇAR-SE DO PINÁCULO. RESPOSTA: NÃO TENTARÁS AO SENHOR TEU DEUS.
Capítulo 4,Que profeta Jesus leu na sinagoga de Nazaré?,ISAÍAS.
Capítulo 4,O que o profeta Isaías dizia sobre Jesus?,"O ESPÍRITO DO SENHOR É SOBRE MIM, POIS ME UNGIU PARA EVANGELIZAR, CURAR, LIBERTAR E ANUNCIAR O ANO ACEITÁVEL DO SENHOR."
Capítulo 4,O que Jesus disse após ler a profecia?,HOJE SE CUMPRIU ESTA ESCRITURA EM VOSSOS OUVIDOS.
Capítulo 4,O que Jesus disse sobre os profetas em sua pátria?,NENHUM PROFETA É BEM RECEBIDO NA SUA PÁTRIA.
Capítulo 4,Quem foi enviado à viúva em Sarepta de Sidom na época da fome?,ELIAS.
Capítulo 4,Quem foi curado da lepra por Eliseu?,NAAMÃ.
Capítulo 4,Qual foi a reação do povo quando ouviu as palavras de Jesus?,"FICARAM IRADOS E TENTARAM MATÁ-LO, MAS JESUS PASSOU PELO MEIO DELES E FOI EMBORA."
Capítulo 4,Quem estava na sinagoga em Cafarnaum e o que dizia?,"UM ENDEMONINHADO, QUE DISSE: BEM SEI QUEM ÉS: O SANTO DE DEUS."
Capítulo 4,O que Jesus fez com o endemoninhado?,"REPRENDEU, DISSE: CALA-TE E SAI DELE. O DEMÔNIO SAIU SEM CAUSAR MAL."
Capítulo 4,Quem estava doente na casa de Simão Pedro e o que tinha?,"A SOGRA DE PEDRO, COM MUITA FEBRE."
Capítulo 4,O que era importante que Jesus anunciasse em outras cidades?,O REINO DE DEUS.
Capítulo 5,"Chegando no lago de Genesaré, viu dois barcos junto à praia. O que eles estavam fazendo?",LAVANDO AS REDES
Capítulo 5,No barco de quem Jesus entrou e começou a ensinar a multidão?,PEDRO
Capítulo 5,"Acabando de ensinar, que ordem deu Jesus a Pedro?",QUE FOSSE AO ALTO MAR E LANÇASSE A REDE
Capítulo 5,Qual foi a resposta de Pedro e o que ocorreu em seguida?,"MESTRE, HAVENDO TRABALHADO A NOITE TODA, NADA APANHAMOS, MAS COMO MANDAS, LANÇAREI A REDE. COLHERAM UMA QUANTIDADE ENORME DE PEIXES. PEDIRAM PARA O OUTRO BARCO VIR E OS DOIS FICARAM CHEIOS DE PEIXES, INDO QUASE A PIQUE"
Capítulo 5,Que disse Pedro ao ver tal milagre?,"PROSTROU-SE AOS PÉS DE JESUS E DISSE: SENHOR, AUSENTA-TE DE MIM, POIS SOU PECADOR"
Capítulo 5,Quem eram os companheiros de Pedro?,"TIAGO E JOÃO, FILHOS DE ZEBEDEU"
Capítulo 5,Qual foi o convite de Jesus e o que eles fizeram?,"NÃO TEMAS; DE AGORA EM DIANTE, SERÁS PESCADOR DE HOMENS. LEVANDO OS BARCOS PARA A TERRA, DEIXARAM TUDO E O SEGUIRAM"
Capítulo 5,"Estando em uma daquelas cidades, aproximou-se de Jesus um homem leproso. Qual foi o seu pedido?","SENHOR, SE QUISERES, BEM PODES LIMPAR-ME"
Capítulo 5,"Qual foi a reação de Jesus, e o que ocorreu?","ESTENDENDO A MÃO, TOCOU-LHE E DISSE: QUERO; SÊ LIMPO. E LOGO A LEPRA DESAPARECEU"
Capítulo 5,Que ordem Jesus deu a ele?,"VAI, MOSTRA-TE AO SACERDOTE E OFERECE O QUE DETERMINOU MOISÉS PARA SUA PURIFICAÇÃO"
Capítulo 5,"Estando Jesus pregando entre doutores, fariseus, vindos da Galiléia, Judéia e de Jerusalém, quem trouxeram a ele e por onde o passaram para chegar até Jesus?","UM HOMEM PARALÍTICO - NO TELHADO, POR ENTRE AS TELHAS, BAIXARAM A CAMA ATÉ JESUS"
Capítulo 5,"Vendo Jesus a fé, o que Ele disse ao paralítico?","HOMEM, OS TEUS PECADOS TE SÃO PERDOADOS"
Capítulo 5,Qual foi a reação dos escribas e fariseus?,QUEM É ESTE QUE DIZ BLASFÊMIAS? QUEM PODE PERDOAR PECADOS SENÃO DEUS
Capítulo 5,Qual foi a resposta de Jesus e o que ocorreu com o paralítico?,"QUAL É MAIS FÁCIL, DIZER PERDOADOS OS TEUS PECADOS OU LEVANTA E ANDA? O PARALÍTICO LEVANTOU, TOMOU A CAMA E FOI PARA SUA CASA"
Capítulo 5,"Onde estava assentado o publicano Levi, que ordem Jesus deu a ele e para onde foi?","NA RECEBEDORIA - SEGUE-ME - PARA A CASA DELE, ONDE COMEU COM PUBLICANOS E PECADORES"
Capítulo 5,"Quando perguntaram a Jesus sobre o Jejum, que os discípulos de João e os fariseus faziam, qual foi a resposta de Jesus?",COMO PODE JEJUAR OS CONVIDADOS DAS BODAS ENQUANTO O NOIVO ESTÁ COM ELES? VIRÁ TEMPO EM QUE O NOIVO SERÁ TIRADO E AÍ JEJUARÃO. E CONTOU-LHES A PARÁBOLA DO PANO DA ROUPA NOVA E DO VINHO NOVO EM ODRES VELHOS
Capítulo 6,"Quando em dia de sábado passaram pelas searas, o que os discípulos fizeram?","ARRANCANDO ESPIGAS, ESFREGARAM NAS MÃOS E COMERAM"
Capítulo 6,"Alguns dos fariseus falaram que não era lícito fazer aquilo, quem Jesus mencionou que tinha entrado na casa de Deus e comido o pão da proposição?",DAVI
Capítulo 6,"Em outro sábado, entrando Ele na sinagoga, havia um homem com problema. Qual era o seu problema e o que fez Jesus?","ELE TINHA UMA DAS MÃOS MIRRADAS. JESUS MANDOU ELE SE LEVANTAR, FICAR DE PÉ NO MEIO, PERGUNTOU SE ERA LÍCITO FAZER O BEM NO SÁBADO, E DISSE PARA ELE ESTENDER A MÃO E ELE FICOU CURADO"
Capítulo 6,"Segundo Lucas, qual o nome dos doze discípulos?","SIMÃO PEDRO, ANDRÉ, TIAGO, JOÃO, FILIPE, BARTOLOMEU, MATEUS, TOMÉ, TIAGO (FILHO DE ALFEU), SIMÃO (O ZELOTE), JUDAS (FILHO DE TIAGO) E JUDAS ISCARIOTES"
Capítulo 6,De onde vieram as pessoas para ouvir o sermão da montanha?,"TODA JUDÉIA, JERUSALÉM, DA COSTA MARÍTIMA DE TIRO E SIDOM"
Capítulo 6,Bem-aventurandos os que...,"(Inclui todas as sentenças sobre pobres, fome, choro, perseguição e os ais)"
Capítulo 6,Cite ordens de Jesus,"(Inclui amar inimigos, dar a outra face, não julgar, etc.)"
Capítulo 6,Cada árvore conhece pelo seu fruto. Não se pode colher figos e uvas do que?,ESPINHEIRO E ABROLHOS
Capítulo 6,A quem é semelhante o homem que ouve e pratica?,"AO HOMEM QUE CAVOU FUNDO O ALICERCE, COLOCOU EM CIMA DA ROCHA"
Capítulo 6,A quem é semelhante o homem que não ouve nem pratica?,AO HOMEM QUE CONSTRUIU A CASA SEM ALICERCE
Capítulo 7,Pedido do centurião em Cafarnaum,QUE CURASSE O SEU SERVO; ERA UM HOMEM BOM E TINHA CONSTRUÍDO A SINAGOGA
Capítulo 7,O que centurião falou a Jesus?,NÃO PRECISA ENTRAR EM CASA; FALE APENAS UMA PALAVRA E MEU CRIADO SARARÁ
Capítulo 7,O que Jesus disse e o que aconteceu com o criado?,DIGO-VOS QUE NEM EM ISRAEL TENHO ACHADO TANTA FÉ; O CRIADO FOI CURADO
Capítulo 7,Cidade onde Jesus encontrou a viúva,NAIM
Capítulo 7,O que Jesus fez e o que aconteceu com o defunto?,"DISSE: NÃO CHORES; TOCOU O ESQUIFE E DISSE: JOVEM, LEVANTA-TE; ELE ASSENTOU-SE E FALOU"
Capítulo 7,Pergunta de João Batista,ÉS TU AQUELE QUE HAVIA DE VIR OU ESPEREMOS OUTRO?
Capítulo 7,O que Jesus fez e mandou responder?,"CURA DE ENFERMOS, CEGOS, LEPROSOS, SURDOS; MORTOS RESSUSCITAM, POBRES OUVEM O EVANGELHO"
Capítulo 7,O que Jesus falou sobre João?,"ENTRE OS NASCIDOS DE MULHER, NÃO HÁ MAIOR PROFETA"
Capítulo 8,Algumas mulheres são mencionadas que serviam a Jesus. Algumas com suas fazendas. Mencione o nome de algumas?,"MARIA MADALENA QUE TINHA 07 DEMÔNIOS E FORAM EXPULSOS; JOANA, MULHER DE CUZA, PROCURADOR DE HERODES; SUZANA"
Capítulo 8,"Na parábola do semeador, responda: NO CAMINHO...? NA PEDRA...? ENTRE ESPINHOS...? TERRA BOA...?",NO CAMINHO: FOI PISADA E AS AVES COMERAM; NA PEDRA: NASCIDA SECOU-SE POR FALTA DE UMIDADE; ENTRE ESPINHOS: CRESCENDO COM ELAS A SUFOCARAM; TERRA BOA: CRESCEU E PRODUZIU FRUTO 100 POR 01
Capítulo 8,A semente é a palavra de Deus. Qual a explicação da parábola?,"NO CAMINHO: OUVEM, MAS VEM O DIABO E TIRA A PALAVRA; NA PEDRA: OUVEM, MAS NÃO TEM RAIZ; NOS ESPINHOS: OUVEM, MAS SÃO SUFOCADOS PELOS DELEITES DA VIDA E RIQUEZAS; EM BOA TERRA: OUVEM, CONSERVAM E DÃO FRUTO"
Capítulo 8,Na parábola da candeia onde ela deveria ser colocada?,"NÃO DEBAIXO DA CAMA OU COBERTA COM VASO, MAS NO VELADOR. PORQUE NADA HÁ OCULTO QUE NÃO HAJA DE SER MANIFESTO"
Capítulo 8,Quem são os irmãos e mãe de Jesus?,TODOS AQUELES QUE OUVEM A PALAVRA DE DEUS E A PRATICAM
Capítulo 8,"Entrando Jesus num barco, o que aconteceu e o que ele fez?","HOUVE GRANDE TEMPESTADE, O BARCO ENCHIA DE ÁGUA. JESUS LEVANTOU-SE E REPREENDEU O VENTO E A ÁGUA; HOUVE BONANÇA"
Capítulo 8,"Na cura do endemoninhado gadareno, onde ele morava e qual seu nome?",NA TERRA DOS GADARENOS; HABITAVA NOS SEPULCROS; SEU NOME ERA LEGIÃO
Capítulo 8,O que os demônios pediram a Jesus e o que aconteceu?,PARA ENTRAR EM UMA MANADA DE PORCOS; OS PORCOS SE PRECIPITARAM NO LAGO E MORRERAM
Capítulo 8,Qual foi o pedido de Jairo e quem ele era?,QUE JESUS FOSSE À SUA CASA E CURASSE SUA FILHA QUE ESTAVA À MORTE; ELE ERA PRÍNCIPE DA SINAGOGA
Capítulo 8,A filha era única e tinha quantos anos?,QUASE DOZE ANOS
Capítulo 8,"No caminho, quem tocou em Jesus e por quê?",UMA MULHER COM FLUXO DE SANGUE HÁ DOZE ANOS
Capítulo 8,O que Jesus disse quando ela tocou nele?,"ALGUÉM TOCOU EM MIM, PORQUE PERCEBI QUE SAIU VIRTUDE"
Capítulo 8,O que Jesus disse à mulher?,TEM BOM ÂNIMO; A TUA FÉ TE SALVOU; VAI EM PAZ
Capítulo 8,Que notícia trouxeram da casa de Jairo?,QUE A FILHA HAVIA MORRIDO
Capítulo 8,Quem Jesus levou consigo para o quarto da menina?,"PEDRO, TIAGO, JOÃO, JAIRO E A MÃE DA MENINA"
Capítulo 8,O que disseram quando Jesus falou que ela dormia?,RIRAM DELE
Capítulo 8,O que Jesus disse ao pegar a menina pela mão?,"LEVANTA-TE, MENINA"
Capítulo 8,O espírito voltou e ela levantou-se. O que Jesus mandou dar a ela?,DE COMER
Capítulo 9,"Convocando os doze discípulos, o que Jesus deu a eles?",PODER E AUTORIDADE SOBRE DEMÔNIOS E PARA CURAR ENFERMIDADES; ENVIADOS A PREGAR E CURAR
Capítulo 9,O que eles deveriam levar e não levar?,"NÃO LEVAR NADA: NEM BORDÃO, NEM ALFORJE, NEM PÃO, NEM DINHEIRO, NEM DUAS TÚNICAS"
Capítulo 9,O que deveriam fazer se uma cidade não os recebesse?,SACUDIR O PÓ DOS PÉS EM TESTEMUNHO CONTRA ELES
Capítulo 9,Quem procurava ver Jesus?,HERODES O TETRARCA
Capítulo 9,"Primeira multiplicação dos pães: onde, com quanto e para quantos?",EM BETSAIDA; 5 PÃES E 2 PEIXES; CERCA DE 5000 HOMENS; SOBRARAM 12 CESTOS
Capítulo 9,O que responderam quando Jesus perguntou quem ele era?,"UNS DISSERAM: JOÃO BATISTA, OUTROS: ELIAS; PEDRO DISSE: O CRISTO DE DEUS"
Capítulo 9,O que Jesus disse que cada um deveria levar?,"NEGAR-SE A SI MESMO, TOMAR SUA CRUZ CADA DIA E SEGUIR"
Capítulo 9,Quantos dias até a transfiguração?,OITO DIAS
Capítulo 9,Quem Jesus levou para a transfiguração?,"PEDRO, TIAGO E JOÃO"
Capítulo 9,Como ficou Jesus e quem apareceu?,"ROSTO RESPLANDECEU, VESTES BRANCAS; APARECERAM MOISÉS E ELIAS"
Capítulo 9,O que sugeriu Pedro?,FAZER TRÊS TENDAS
Capítulo 9,O que a voz da nuvem disse?,ESTE É MEU FILHO AMADO; A ELE OUVI
Capítulo 9,O que pediu o pai do jovem lunático?,"MESTRE, OLHA PARA MEU FILHO; UM ESPÍRITO O ATORMENTA"
Capítulo 9,O que ele disse sobre os discípulos?,QUE NÃO PUDERAM CURAR
Capítulo 9,O que aconteceu quando trouxeram o jovem?,O DEMÔNIO O CONVULSIONOU; JESUS O CURA E ENTREGA AO PAI
Capítulo 9,Quem seria o maior? Qual foi a lição de Jesus?,TOMOU UMA CRIANÇA E DISSE: QUEM RECEBE ESTA CRIANÇA EM MEU NOME A MIM ME RECEBE
Capítulo 9,O que Jesus disse sobre quem expulsava demônios em seu nome?,NÃO O IMPEÇAIS; QUEM NÃO É CONTRA NÓS É POR NÓS
Capítulo 9,Que aldeia não recebeu Jesus?,ALDEIA DOS SAMARITANOS
Capítulo 9,Quem quis mandar descer fogo?,TIAGO E JOÃO
Capítulo 9,O que o Filho do Homem não tinha?,ONDE RECLINAR A CABEÇA
Capítulo 9,O que Jesus respondeu ao que queria enterrar o pai?,DEIXA OS MORTOS ENTERRAR OS SEUS MORTOS; TU VAI E ANUNCIA O REINO
Capítulo 9,Quem não era apto para o Reino?,QUEM LANÇA MÃO DO ARADO E OLHA PARA TRÁS
Capítulo 10,Jesus enviou os setenta como cordeiros no meio de quê?,LOBOS
Capítulo 10,O que não deveriam levar?,"NEM BOLSA, ALFORJE, NEM SANDÁLIAS; NÃO SAUDAR PELO CAMINHO"
Capítulo 10,O que dizer na casa que entrassem?,PAZ SEJA NESTA CASA
Capítulo 10,Onde deveriam permanecer?,"NA MESMA CASA, COMENDO E BEBEN"
Capítulo 11,Na oração dominical a oração de Lucas é completa ou reduzida?,A reduzida
Capítulo 11,Na parábola do amigo importuno: Qual hora ele foi procurar?,Meia noite
Capítulo 11,O que pediu?,Três pães
Capítulo 11,O que o dono da casa estava fazendo?,Já tinha se recolhido com a família
Capítulo 11,Por que ele ajudou o amigo?,Para não ficar importunando
Capítulo 11,Se o filho pedir pão...,Não dará pedra
Capítulo 11,Se pedir peixe...,Não dará serpente
Capítulo 11,Se pedir ovo...,Não dará escorpião
Capítulo 11,Qual era a blasfêmia dos fariseus?,Dizer que Jesus expulsava demônios por Belzebu
Capítulo 11,"Quando o espírito imundo sai e retorna, quanto outros espíritos leva consigo?",Sete piores do que ele
Capítulo 11,O que uma mulher gritou do meio da multidão?,Bem-aventurado o ventre que te trouxe e os peitos que mamaste
Capítulo 11,Que sinal Jesus disse que daria à geração maldita?,O sinal de Jonas
Capítulo 11,Que rainha do sul e que rei é mencionado?,Rainha do Sul e Rei Salomão
Capítulo 11,O que Jesus disse ser a candeia do corpo?,Os olhos
Capítulo 11,Por que censuraram Jesus?,Por comer sem se lavar
Capítulo 11,Que censura Jesus fez a eles?,"Limpam exterior, pratos, dizimam hortelã, amam os primeiros assentos"
Capítulo 11,O que eles desprezavam?,O juízo e o amor de Deus
Capítulo 11,A quem Jesus comparou eles?,Sepultura que não aparece
Capítulo 11,O sangue de quem seria requerido daquela geração?,De Abel até Zacarias
Capítulo 11,O que eles tiraram?,A chave da ciência
Capítulo 12,O que deveriam temer?,Aquele que depois de matar pode lançar no inferno
Capítulo 12,Por quanto cinco passarinhos podem ser vendidos?,Dois ceitis
Capítulo 12,Que pecado não seria perdoado?,Blasfêmia contra o Espírito Santo
Capítulo 12,Por que não deveriam se preocupar com o que falar diante das autoridades?,O Espírito Santo ensinaria
Capítulo 12,Na parábola do rico insensato: Do que devemos nos guardar?,Avareza
Capítulo 12,O que faltava ao rico?,Lugar para guardar
Capítulo 12,O que ele propôs fazer?,Derrubar os celeiros e construir outros maiores
Capítulo 12,O que faria depois de recolher tudo?,"Descansar, comer, beber e folgar"
Capítulo 12,O que pediriam dele naquela noite?,A alma
Capítulo 12,Quem não é rico para com Deus?,Quem ajunta tesouro para si
Capítulo 12,O que Jesus apontou na natureza?,Corvos e lírios
Capítulo 12,O que deveriam buscar?,O Reino de Deus
Capítulo 12,Que bolsas deveriam fazer?,Que não envelheçam
Capítulo 12,O que deveriam fazer os servos?,Vigiar
Capítulo 12,Quando viria o Senhor?,Em hora que não se espera
Capítulo 12,Castigo do servo não vigilante?,Seria açoitado
Capítulo 12,O que Jesus veio lançar na terra?,Fogo
Capítulo 12,O que Jesus veio trazer?,Dissensão
Capítulo 12,Quando assoprava vento sul?,Haverá calma
Capítulo 12,O que aconteceria se não se livrar do adversário?,"Seria levado ao magistrado, depois ao juiz, e à prisão"
Capítulo 13,O sangue de quem Herodes misturou com sacrifícios?,Galileus
Capítulo 13,Quantas pessoas morreram na torre de Siloé?,18
Capítulo 13,Onde estava a figueira?,Na vinha
Capítulo 13,Quantos anos procurava frutos nela?,Três anos
Capítulo 13,Que ordem o vinhateiro recebeu?,Cortar
Capítulo 13,O que pediu o vinhateiro?,"Deixar mais um ano, ia cavar e esterquejar"
Capítulo 13,Quantos anos a mulher estava enferma?,18 anos
Capítulo 13,Como ela andava?,Curvada
Capítulo 13,O que Jesus fez depois de falar?,Impôs as mãos e ela se endireitou
Capítulo 13,O que o príncipe da sinagoga disse?,"Hipócritas, livram animais no sábado"
Capítulo 13,Quem se aninha nos ramos da mostarda?,Aves do céu
Capítulo 13,Quantas medidas na parábola do fermento?,Três
Capítulo 13,Quem veriam dentro do Reino?,"Abraão, Isaque, Jacó e os profetas"
Capítulo 13,De onde viriam pessoas para a mesa no Reino?,"Oriente, ocidente, norte e sul"
Capítulo 13,Quem queria matar Jesus?,Herodes
Capítulo 13,Como Jesus chamou Herodes?,Raposa
Capítulo 13,Que cidade matava os profetas?,Jerusalém
Capítulo 13,A que Jesus comparou sua vontade de ajuntar as pessoas?,Galinha que ajunta pintos debaixo da asa
Capítulo 14,Em que dia da semana Jesus curou um hidrópico?,Sábado
Capítulo 14,"O que se caísse em um poço em dia de sábado, eles iriam imediatamente tirar?",Boi ou jumento
Capítulo 14,"Na parábola dos primeiros assentos e dos convidados, o que deveriam fazer quando fossem às bodas de alguém?",Sentar no derradeiro lugar
Capítulo 14,"Quando deres um jantar, quem eles deveriam convidar?","Não chame teus amigos, parentes, vizinhos ricos; e sim chamar os pobres, aleijados, mancos e cegos"
Capítulo 14,"Quem fizesse isso, que recompensa teria?",Seria bem-aventurado e recompensado na ressurreição dos justos
Capítulo 14,"Na parábola da grande ceia, que resposta os primeiros convidados deram para não ir à festa?",Comprei um campo e preciso vê-lo
Capítulo 14,Outro convidado respondeu o quê?,Comprei cinco juntas de bois e vou experimentá-los
Capítulo 14,Outro ainda respondeu o quê?,"Casei, não posso ir"
Capítulo 14,Quem ele mandou convidar no lugar dos amigos?,"Os pobres, mancos e os cegos"
Capítulo 14,Na parábola da providência: não pode ser meu discípulo se...,"Não aborrecer pai, mãe, mulher, filhos, irmãos e a própria vida"
Capítulo 14,Quem edifica uma torre deve...,Fazer as contas para ver se tem com que acabar
Capítulo 14,O rei que sai à guerra com 10.000 deve...,Sentar para ver se pode com outro que vem com 20.000; é melhor fazer as pazes
Capítulo 15,Na parábola da ovelha perdida: por que murmuravam os fariseus e escribas?,Porque Jesus recebia e comia com pecadores
Capítulo 15,Quantas ovelhas eram?,Cem ovelhas
Capítulo 15,Quantas ele deixou no deserto e foi atrás de quantas?,Deixou 99 e foi atrás de 1
Capítulo 15,Em que lugar ele coloca a ovelha quando a encontra?,Nos ombros
Capítulo 15,"Chegando em casa, quem ele reuniu para alegrar-se?",Amigos e vizinhos
